이름,주의사항,성분
한미양행 프리바이오틱스 FOS 4100 프리미엄,"(가) 섭취 시 가스참, 트림, 복통, 복부팽만감 등이 발생할 수 있음
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","아셀렌산나트륨, 산화아연, 프락토올리고당, 요구르트 혼합, 요구르트향분말, 자일리톨, 스테아린산마그네슘, 이산화규소, DL-사과산, 3종 혼합유산균, 유산균혼합분말, L-프롤린, 초유단백분말, 치커리뿌리추출물분말, 사과식이섬유"
비타민D 키즈 1000IU,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","혼합제제, 만니톨, 이소말트, 덱스트린, D-소비톨, 백포도과즙, 기타가공품, 옥수수전분, 비타민 C, 이산화규소, 스테아린산마그네슘, 혼합제제, 혼합제제, 과일채소혼합분말, 효소처리스테비아"
메디타민 비오틴 10000,"이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비오틴, 판토텐산칼슘, 비타민 B6 염산염, 건조효모(크롬함유), 결정셀룰로스, 건조효모, 이산화규소, 스테아린산마그네슘, 히드록시프로필메틸셀룰로스"
이든메가바이오틱스M(엠)1,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Bifidobacterium animalis ssp. lactis(고시형), Bifidobacterium longum(고시형), Bifidobacteriumbifidum(고시형), 자당지방산에스테르, 카라기난, 이산화티타늄, 정제수, 히드록시프로필메틸셀룰로스, 피로인산칼륨, 염화마그네슘, 펙틴"
항산화 투모로우 코엔자임Q10,,"코엔자임 Q10(고시형), 비타민C(고시형), D-알파-토코페롤(고시형), 레티닐 팔미트산염(고시형), 정제수, 젤라틴, 젤라틴, 글리세린, 안나토색소, 에틸바닐린, 카라멜색소, 이산화티타늄, 식용색소적색제3호, 식용색소적색제40호, 콩기름(대두유), 밀납, 레시틴, 기타가공품, 기타가공품"
어린이 종합비타민츄어블 16,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
항응고제 등 복용 시 전문가와 상담할 것
특히 6세 이하는 과량섭취하지 않도록 주의","비타민 C, DL-알파-토코페릴초산염 혼합제제, 산화아연, 분말비타민A혼합제제, 비타민D3혼합제제, 비타민 B2, 황산망간, 분말비타민B12혼합제제, 비타민 B6 염산염, 비타민 B1염산염, 니코틴산아미드, 판토텐산칼슘, 비타민K1혼합제제, 비오틴, 엽산, 푸마르산제일철, 포도당, 오렌지맛분말, 오렌지향분말, 오렌지농축분말, 자일리톨, 스테아린산마그네슘, 무수구연산, 효소처리스테비아, 과일채소혼합분말, 과일야채고형분, 초유분말"
이너이뮨 100억 프로바이오틱스(Inner Immune 10Billions Probiotics),"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것





(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","산화아연, Limosilactobacillus fermentum(고시형), Limosilactobacillus fermentum(고시형), Lactiplantibacillus plantarum(고시형), 건조효모(비타민D), 유산균혼합분말, 건조효모(셀렌함유), 유산균혼합분말, 히드록시프로필메틸셀룰로스, 정제수, 카라기난, 소르비탄지방산에스테르, 염화마그네슘, 글리세린, 염화칼륨, 쌀발효분말, 유산균배양건조물, 프락토올리고당, 갈락토올리고당, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염"
맛있는 비타민C 1000,,"비타민 C, 비타민 B2, 비타민 B6 염산염, 자일리톨, 만니톨, 레몬농축분말, 분말결정포도당, D-소비톨, 히드록시프로필메틸셀룰로스, 레몬향혼합제제, 오렌지맛분말, 효소처리스테비아, 수크랄로스, 이산화규소"
뉴트라부스트 코엔자임 Q10,"(가) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 B2, 비타민B1염산염(고시형), d-α-토코페롤, 비타민C(고시형), 건조효모(셀렌함유), 혼합제제, 코엔자임 Q10(고시형), 혼합제제, 정제수, 젤라틴, 글리세린, 카카오색소, 엽산, 혼합제제, 비타민 B6 염산염, 기타가공품, 레시틴, 밀납(황납), 야자유, 올리브유"
211프로틴코어,"특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의

(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 D(고시형), 비타민 B6(고시형), 산화아연(고시형), 산화마그네슘(고시형), 탄산칼슘(고시형), 완두단백, 곡류혼합분말, 효소처리스테비아, 덱스트린, 코코넛꽃액즙, 아미노산혼합분말, 아미노산혼합분말, 레몬밤분말, 과일야채고형분"
에브리데이 홍삼활력 100+20,"⑴ 특수체질이거나 알레르기 체질인 경우에는 섭취 전에 반드시 원료명 및 함량을 확인하시기 바랍니다.
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처에 주의하시기 바랍니다.
⑶ 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의 하십시오.
⑷ 유통기한이 경과된 제품은 섭취하지 마십시오.","홍삼, 6년근(고시형), 기타가공품, 혼합제제, 기타 농산가공품, 기타 농산가공품, 물엿"
데일리 유산균 P417,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","프로바이오틱스(고시형), Lacticaseibacillus rhamnosus(고시형), 프로바이오틱스(고시형), 프로바이오틱스(고시형), 자일리톨, 이산화규소, 갈락토올리고당, 비타민 C, 프락토올리고당, L-프롤린, 초유분말, 기타가공품, 덱스트린, 이소말트, 전지분유, 밀크향분말"
장 건강 10억 생 유산균,"질환이 있거나 의약품 복용시 전문가와 상담하십시오. 
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있습니다. 
어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도하십시오. 
이상사례 발생시 섭취를 중단하고 전문가와 상담하십시오.","프로바이오틱스(고시형), 블루베리농축분말, 자일리톨, 이소말트, 포도당, 덱스트린, 천연향료, 발효유분말, 비타민 C, 갈락토올리고당, 프락토올리고당, 기타가공품, L-프롤린, 프로바이오틱스(고시형), 프로바이오틱스(고시형), 식물성크림"
농협 6년근 고려 100년 홍삼정스틱 왕,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 정제수"
뉴트라플랜 초임계 알티지 오메가3 일레븐 11,"(가) 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
(나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민D3혼합제제, 비타민 A 혼합제제, d-α-토코페롤, 정제어유, 젤라틴, 글리세린, 에틸바닐린, D-소비톨액, 포도씨앗유"
닥터에디션 써니디 츄어블 1000 IU,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민D3혼합제제, 구연산, 이산화규소, 스테아린산마그네슘, 오렌지향분말, 프락토올리고당, 자일리톨, 오렌지과즙분말, 이소말트, 포도당"
가르시니아1000,"(가) 어린이, 임산부 및 수유부는 섭취를 피하십시오.
(나) 간·신장·심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담하십시오.
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.","가르시니아캄보지아 추출물(고시형), 커피원두추출물분말, 흰강낭콩, 히드록시프로필메틸셀룰로스, 결정셀룰로스, 카복시메틸셀룰로스칼슘, 이산화규소, 스테아린산마그네슘, 글리세린지방산에스테르, 생선콜라겐분말, 아미노산혼합분말, 차전자피식이섬유(고시형), 녹차추출물분말(고시형), 유산균혼합분말, L-카르니틴, 미르틸루스산앵도열매추출물분말, 판토텐산칼슘(고시형), 니코틴산아미드(고시형), 피리독신염산염(고시형), 비타민B1염산염(고시형)"
농협 6년근 고려 100년 홍삼정스틱 수,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 정제수, 물엿, 식물혼합농축액, 액상과당, 잔탄검"
농협 6년근 고려 100년 홍삼정스틱 천,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 정제수, 식물혼합농축액, 물엿, 잔탄검"
닥터 프레그맘 스텝-1,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 C, 비타민E혼합제제, 니코틴산아미드, 산화아연, 황산망간, 판토텐산칼슘, 혼합제제, 비타민D3혼합제제, 혼합제제, 비타민B12, 혼합제제, 비타민 B6 염산염, 비타민 B1염산염, 메틸테트라히드로엽산글루코사민, 비타민 B2, 치커리뿌리추출물분말, 과채가공품, 전지분유, 기타가공품, 혼합제제, 덱스트린, 석류농축분말, 기타가공품, 블루베리농축분말, 기타가공품, 기타가공품, 기타가공품, 글리세린지방산에스테르"
메가플러스 비오틴 10000,"이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비타민 B6 염산염, 분말비타민B12혼합제제, 아셀렌산나트륨, 판토텐산칼슘, 산화아연, 비오틴, 니코틴산아미드, 비타민 C, 비타민 B1염산염, 비타민 B2, 엽산, 결정셀룰로스, 과일채소혼합분말, 베리혼합분말, 녹차추출물분말(고시형), 곡류가공품, 건조효모, 스테아린산마그네슘, 해조칼슘, 이산화규소, 카복시메틸셀룰로스칼슘, 구연산삼나트륨"
닥터프레그맘 코엔자임Q10,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(다) 알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","코엔자임 Q10(고시형), 니코틴산아미드, 산화아연, 황산망간, 판토텐산칼슘, 비오틴, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 비타민D3혼합제제, 엽산, 글리세린, D-소비톨액, 이산화티타늄, 에틸바닐린, 식용색소적색제40호, 식용색소적색제2호, 식용색소적색제3호, 식용색소황색제5호, 식용색소황색제4호, 식용색소청색제1호, 젤라틴, 콩기름(대두유), 포도씨앗유, 레시틴, 이노시톨, 과일채소혼합분말, 영지버섯자실체추출물분말, 생선콜라겐분말, 블루베리농축분말"
바이탈큐브 루테인 13 플러스,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","엽산, 비타민D3혼합제제, 비타민 B2, 비타민 B1염산염, 비타민 B6 염산염, 레티닐 팔미트산염 혼합제제, 분말비타민B12혼합제제, 아셀렌산나트륨, 판토텐산칼슘, 산화아연, 니코틴산아미드, d-α-토코페롤, 마리골드꽃추출물(고시형), 젤라틴, 글리세린, 카카오색소, 헤마토코쿠스추출물(고시형), 과일채소혼합분말, 블루베리농축분말, 레시틴, 밀납, 콩기름(대두유), 결명자추출물분말, 베리혼합농축액분말, 헛개나무추출물분말, 토마토농축분말"
유산균 헬베티쿠스 것(GUT)10,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Lactobacillus helveticus(고시형), 덱스트린"
